DSA Master Sheet									
"Sr 
No."	"Sub
Sr No."	Topic	Subtopic	Problem Name	Link	Difficulty	Status	Notes	Revisit
PHASE 1 : FUNDAMENTALS & LINEAR DATA STRUCTURES									
422	52			Word Ladder	Link	★★★★☆			
423	53			Reorder Routes to Make All Paths Lead to the City Zero	Link	★★★★☆			
424	54			Word Ladder II	Link	★★★★★			
425	55			Escape the Spreading Fire	Link	★★★★★			
PHASE 9 : EXHAUSTIVE SEARCH & OPTIMISATION									
426	1	Backtracking	Subsequence & Subset Fundamentals	Check if subsequence with sum K Exists	Link	★★☆☆☆			
427	2			Count all subsequences with sum K		★★☆☆☆			
428	3			Subsets / Power Set	Link	★★★☆☆			
429	4			Subsets II (With Duplicates)	Link	★★★☆☆			
430	5			Subset Sums	Link	★★★☆☆			
431	6		Combinations	Combination Sum I	Link	★★★☆☆			
432	7			Combination Sum II	Link	★★★☆☆			
433	8			Combination Sum III	Link	★★★☆☆			
434	9			N Digit numbers with digits in increasing order	Link	★★★☆☆			
435	10		Permutations	Permutations II (With Duplicates)	Link	★★★☆☆			
436	11			Letter Combinations of a Phone Number	Link	★★★☆☆			
437	12			Generate Parentheses	Link	★★★☆☆			
438	13		String BackTracking	Palindrome Partitioning	Link	★★★★☆			
439	14			Word Break 	Link	★★★★☆			
440	15			Remove Invalid Parentheses	Link	★★★★★			
441	16			Expression Add Operators	Link	★★★★★			
442	17		Grid & Maze Backtracking	Rat in a Maze	Link	★★★★☆			
443	18			Word Search	Link	★★★★☆			
444	19			M-Coloring Problem	Link	★★★★☆			
445	20			N-Queens	Link	★★★★★			
446	21			N-Queens II	Link	★★★★★			
447	22			Sudoku Solver	Link	★★★★★			
448	1	Dynamic Programming	1D DP (Intro to State & Transitions)	Fibonacci Number	Link	★☆☆☆☆			
449	2			Climbing Stairs	Link	★☆☆☆☆			
450	3			Min Cost Climbing Stairs	Link	★★☆☆☆			
451	4			Frog Jump	Link	★★☆☆☆			
452	5			Frog Jump with K Distances	Link	★★☆☆☆			
453	6			House Robber	Link	★★☆☆☆			
454	7			House Robber II	Link	★★★☆☆			
455	8			Decode Ways	Link	★★★☆☆			
456	9		2D Grids & Paths	Unique Paths	Link	★★☆☆☆			
457	10			Unique Paths II	Link	★★★☆☆			
458	11			Minimum Path Sum	Link	★★★☆☆			
459	12			Triangle	Link	★★★☆☆			
460	13			Minimum Falling Path Sum	Link	★★★☆☆			
461	14			Dungeon Game	Link	★★★★☆			
462	15			Cherry Pickup II / Ninja and his Friends	Link	★★★★☆			
463	16		0/1 Knapsack & Subsets	Subset Sum Problem	Link	★★☆☆☆			
464	17			Partition Equal Subset Sum	Link	★★★☆☆			
465	18			Count Subsets with Sum K	Link	★★★☆☆			
466	19			Target Sum	Link	★★★☆☆			
467	20			Count Partitions with Given Difference	Link	★★★☆☆			
468	21			0/1 Knapsack Problem	Link	★★★☆☆			
469	22			Partition Array Into Two Arrays to Minimize Sum Difference	Link	★★★★☆			
470	23			Last Stone Weight II	Link	★★★★☆			
471	24		Unbounded Knapsack	Rod Cutting Problem	Link	★★★☆☆			
472	25			Coin Change	Link	★★★☆☆			
473	26			Coin Change II	Link	★★★☆☆			
474	27			Perfect Squares	Link	★★★☆☆			
475	28		DP on Strings (LCS & Edit Distance Patterns)	Longest Common Subsequence	Link	★★★☆☆			
476	29			Print Longest Common Subsequence	Link	★★★☆☆			
477	30			Longest Common Substring	Link	★★★☆☆			
478	31			Longest Palindromic Subsequence	Link	★★★☆☆			
479	32			Minimum Insertions to Make String Palindrome	Link	★★★☆☆			
480	33			Delete Operation for Two Strings	Link	★★★☆☆			
481	34			Shortest Common Supersequence	Link	★★★★☆			
482	35			Distinct Subsequences	Link	★★★★☆			
483	36			Edit Distance	Link	★★★★☆			
484	37			Wildcard Matching	Link	★★★★☆			
485	38			Regular Expression Matching	Link	★★★★★			
486	39		DP on Stocks	Best Time to Buy and Sell Stock	Link	★☆☆☆☆			
487	40			Best Time to Buy and Sell Stock II	Link	★★☆☆☆			
488	41			Best Time to Buy and Sell Stock with Cooldown	Link	★★☆☆☆			
489	42			Best Time to Buy and Sell Stock with Transaction Fee	Link	★★★☆☆			
490	43			Best Time to Buy and Sell Stock III	Link	★★★★☆			
491	44			Best Time to Buy and Sell Stock IV	Link	★★★★☆			
492	45		Longest Increasing Subsequence (LIS)	Longest Increasing Subsequence	Link	★★★☆☆			
493	46			Print Longest Increasing Subsequence	Link	★★★☆☆			
494	47			Largest Divisible Subset	Link	★★★☆☆			
495	48			Longest String Chain	Link	★★★☆☆			
496	49			Longest Bitonic Subsequence	Link	★★★★☆			
497	50			Number of Longest Increasing Subsequences	Link	★★★★☆			
498	51			Russian Doll Envelopes	Link	★★★★★			
499	52		Partition DP & Matrix Chain Multiplication (MCM)	Matrix Chain Multiplication	Link	★★★★☆			
500	53			Minimum Cost to Cut a Stick	Link	★★★★☆			
501	54			Burst Balloons	Link	★★★★★			
502	55			Palindrome Partitioning II	Link	★★★★★
