DSA Master Sheet									
"Sr 
No."	"Sub
Sr No."	Topic	Subtopic	Problem Name	Link	Difficulty	Status	Notes	Revisit
PHASE 1 : FUNDAMENTALS & LINEAR DATA STRUCTURES									
102	1	Recursion	Introduction to Recursion	Print 1 to N without using loops	Link	★☆☆☆☆			
103	2			Print N to 1 without loop	Link	★☆☆☆☆			
104	3			Sum of first N numbers	Link	★☆☆☆☆			
105	4			Factorial of a given number	Link	★☆☆☆☆			
106	5			Fibonacci Number	Link	★☆☆☆☆			
107	6		Recursion on Arrays & Math	Reverse an array	Link	★★☆☆☆			
108	7			Pow(x, n)	Link	★★☆☆☆			
109	8			Count Good Numbers	Link	★★☆☆☆			
110	9			Recursive Implementation of atoi()	Link	★★★☆☆			
111	10		Recursion On strings	Generate Binary Strings Without Consecutive 1s	Link	★★★☆☆			
112	1	Sorting	Sorting Fundamentals	Linear Search	Link	★☆☆☆☆			
113	2			Sort An Array (Implement Merge / Quick Sort)	Link	★★☆☆☆			
114	3			Sort Array By Parity	Link	★★☆☆☆			
115	4			Maximum Gap	Link	★★★☆☆			
116	5		Custom Comparator Sorting	Sort Elements by Decreasing Frequency	Link	★★★☆☆			
117	6			Reorder Data In Log Files	Link	★★★★☆			
118	7		Advanced Sorting	Merge Intervals	Link	★★★☆☆			
119	8			Count Inversions (Merge Sort)	Link	★★★★★			
120	9			Reverse Pairs (Merge Sort)	Link	★★★★★			
PHASE 4 : OBJECT ORIENTED CONCEPTS									
121	1	OOPS	OOPS Fundamentals	Classes, Objects & Constructors		★☆☆☆☆			
122	2			Inheritance & Polymorphism		★★☆☆☆			
123	3			Encapsulation & Abstraction		★★☆☆☆			
124	4			Interfaces & Abstract Classes		★★★☆☆			
125	5		Design Patterns	Singleton Pattern		★★★☆☆			
126	6			Factory Pattern		★★★★☆			
PHASE 5 : ADVANCED LINEAR DATA STRUCTURES									
127	1	Linkedlist	Foundation	Array to Linked List	Link	★☆☆☆☆			
128	2			Count Nodes / Find Length of Linked List	Link	★☆☆☆☆			
129	3			Search in a Linked List	Link	★☆☆☆☆			
130	4		Insertion and Deletion	Insert Node at Head / Tail	Link	★★☆☆☆			
131	5			Insert in Middle of Linked List	Link	★★☆☆☆			
132	6			Remove Linked List Elements (By Value)	Link	★★☆☆☆			
133	7			Remove Duplicates from Sorted List	Link	★★☆☆☆			
134	8			Delete Node in a Linked List (Given only node ref)	Link	★★★☆☆			
135	9			Remove Duplicates from Unsorted List	Link	★★★☆☆			
